Dataset,Model,AUC-PR,AUC-ROC,F1 (Fraud),Precision (Fraud),Recall (Fraud)
Elliptic,Logistic Regression (baseline),0.21382365794593516,0.840863650713172,0.2992036405005688,0.2046692607003891,0.5560253699788583
Elliptic,MLP (baseline),0.35324712074100106,0.8380843848354108,0.4316353887399464,0.5897435897435898,0.3403805496828753
Elliptic,Random Forest (baseline),0.5860408899805875,0.8232524657285261,0.49358341559723595,0.46296296296296297,0.5285412262156448
Elliptic,Elliptic Full-batch (GCN),0.8623526973960993,0.9711594196068821,0.8383437322745321,0.8653395784543325,0.812981298129813
Elliptic,Elliptic Mini-batch (GCN),0.8228309698823332,0.9696859738329855,0.6247224278312361,0.47071946458449526,0.9284928492849285
Elliptic,Elliptic Full-batch (GAT),0.858863031934527,0.9726007941108247,0.8082727780883175,0.821590909090909,0.7953795379537953
Elliptic,Elliptic Mini-batch (GAT),0.7623129078131943,0.9552226819540595,0.42280285035629456,0.26961526810057557,0.9790979097909791
Elliptic,Elliptic Mini-batch (graphSAGE),0.9172320414972166,0.9811983816182666,0.6321965529886322,0.47414741474147415,0.9482948294829483
Elliptic,Elliptic Full-batch (graphSAGE),0.9251053013335415,0.979695875346697,0.8742791234140715,0.9187878787878788,0.8338833883388339
IEEE-CIS,MLP (baseline),0.35586100083118777,0.8434387932310005,0.39510939510939513,0.41419320021586614,0.3777066929133858
IEEE-CIS,Random Forest (baseline),0.36827306849101893,0.816086617746238,0.4136812221170745,0.459045904590459,0.3764763779527559
IEEE-CIS,Logistic Regression (baseline),0.149720530117899,0.8036476193347255,0.2748091603053435,0.2210242587601078,0.3631889763779528
IEEE-CIS,IEEE-CIS Full-batch (GCN),0.31368179413390596,0.8434480906226809,0.345125716806352,0.2715912246598167,0.4732639729010404
IEEE-CIS,IEEE-CIS Mini-batch (GCN),0.15184709212960473,0.7652931389067403,0.0676739139335872,0.035022291535997015,0.9997580450036293
IEEE-CIS,IEEE-CIS Full-batch (GAT),0.3875581997619445,0.8649175413232757,0.43556009707497767,0.46130952380952384,0.412533268812001
IEEE-CIS,IEEE-CIS Mini-batch (GAT),0.07182602108740758,0.6306353958983985,0.07182985553772071,0.03746847101426523,0.8661988870070167
IEEE-CIS,IEEE-CIS Full-batch (graphSAGE),0.5602986949973269,0.9146324149534025,0.5571407559935284,0.7104276069017255,0.45826276312605857
IEEE-CIS,IEEE-CIS Mini-batch (graphSAGE),0.49982090663734047,0.8992119951935923,0.19112719474601259,0.10747015555287592,0.8625695620614565
PaySim,Random Forest (baseline),0.4355064850893422,0.9943435932697305,0.3926663174436878,0.2526287409005123,0.8810531264692054
PaySim,Logistic Regression (baseline),0.5596467295538201,0.888662468736357,0.5217541436464088,0.982444733420026,0.3551951104842501
PaySim,MLP (baseline),0.590556324186343,0.8729174982128348,0.6097879282218597,0.996268656716418,0.4393511988716502
PaySim,PaySim Mini-batch (GCN),0.2613321155241506,0.926562464276756,0.12438440973687913,0.0703205791106515,0.5380401704199634
PaySim,PaySim Full-batch (GCN),0.2411266625808845,0.9151478838861066,0.33570300157977884,0.4780652418447694,0.25867315885575165
PaySim,PaySim Mini-batch (GAT),0.2838940271423374,0.9044024582056969,0.03287549104282172,0.016822776328357783,0.7181984175289106
PaySim,PaySim Full-batch (GAT),0.15624272541772183,0.8985884664459692,0.2674007078254031,0.37777777777777777,0.20693852708460134
PaySim,PaySim Mini-batch (graphSAGE),0.46436120004590287,0.9832793724386178,0.05072297856601913,0.0261172373766686,0.8764455264759586
PaySim,PaySim Full-batch (graphSAGE),0.48842134141020727,0.9698187492379489,0.5117897178198686,0.701271186440678,0.4029214850882532
